month,day,wtp1,wtp2
11,26,18011.541669343,5016.7523119824855
11,27,18055.581575373348,5042.733003891453
11,28,18104.442634482213,5070.663490059045
11,29,18158.334367573596,5100.580226718217
11,30,18217.471814541364,5132.519857352187
11,31,18282.07561600003,5166.519209599946
12,1,18354.81604485195,5203.855038805197
12,2,18433.89121182052,5243.470744783461
12,3,18519.563977145575,5285.407560227055
12,4,18612.103971951103,5329.706912981799
12,5,18711.7876977219,5376.410422163035
12,6,18818.89862641423,5425.559894223321
12,7,18933.72730121632,5477.197318971093
12,8,19056.57143793044,5531.364865542762
12,9,19187.736027034218,5588.104878324544
12,10,19327.533436338344,5647.45987282532
12,11,19476.28351432916,5709.4725315039195
12,12,19634.31369413236,5774.1856995436265
12,13,19801.959098114035,5841.6423805819595
12,14,19979.562643145953,5911.8857323890425
12,15,20167.475146484372,5984.9590625
12,16,20366.055432331734,6060.905823795629
12,17,20575.670438990215,6139.769610038786
12,18,20796.695326701665,6221.594151358144
12,19,21029.513586105008,6306.423309684369
12,20,21274.51714734627,6394.301074142235
12,21,21532.106489834885,6485.2715563851325
12,22,21802.690752625742,6579.378985891062
12,23,22086.687845458728,6676.667705202273
12,24,22384.524560440026,6777.182165122527
12,25,22696.63668435991,6880.966919858549
12,26,23023.469111657803,6988.066622121247
12,27,23365.475958024952,7098.526018172744
12,28,23723.1206746628,7212.389942824522
12,29,24096.876163148074,7329.703314393288
12,30,24487.224890999016,7450.511129600012
